20110228GSC2038.0293_2-187R.fit    17    2011    2         28        22        57        53.0      40.0      
 1219268823662931840    641.69925    391.11172           240.70020197785           +25.34382258643    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408    129.03345    1894.3760           240.80560512693           +25.20283748340    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152    847.53217    1934.6694           240.72477853756           +25.17845620542    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456    1706.5595    1813.0052           240.62288194114           +25.16680238815    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832    1593.0763    397.13842           240.59161467771           +25.31631607682    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848    1736.7060    140.65276           240.56716352578           +25.33877498731    13.2418      2.901      1.175         2.1471         -12.54
 1219263978939807232    480.55444    1486.7097           240.75275609624           +25.23509088002    13.1832     -1.267     -13.310         2.5376         -19.25
 1219261951715181696    1588.2711    1928.8171           240.64000739922           +25.15817347665    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264    1424.8303    885.63652           240.62610880126           +25.27059645439    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944    281.16915    874.79617           240.75650606545           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720    1726.9142    143.22561           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016    106.96015    261.31417           240.75734756238           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704    367.93576    866.55011           240.74632512815           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352    1026.7007    494.28329           240.65938003590           +25.32227196486    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768    355.66227    83.119630           240.72337037962           +25.38370017829    15.4733     -25.243      5.647         1.7637           0.00
 1219262089154135424    1353.0870    1742.1552           240.66103305102           +25.18414411618    15.9929      1.519     -8.333         0.1069           0.00
 1219262398391843200    999.47844    1751.1443           240.70158115827           +25.19304203280    16.2212      4.565     -3.769         1.0452           0.00
20110228GSC2038.0293_2-186R.fit    17    2011    2         28        22        57        2.0       40.0      
 1219268823662931840    642.97187    389.59257           240.70020197795           +25.34382258645    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408    130.17263    1893.1728           240.80560512693           +25.20283748341    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152    848.74785    1933.4079           240.72477853756           +25.17845620543    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456    1707.8817    1811.6253           240.62288194115           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832    1594.3833    395.71572           240.59161467773           +25.31631607682    12.7308     -41.651     -12.381         2.6172         -58.14
 1219263978939807232    481.80605    1485.4341           240.75275609624           +25.23509088003    13.1832     -1.267     -13.310         2.5376         -19.25
 1219268136468174848    1738.0346    139.03125           240.56716352578           +25.33877498731    13.2418      2.901      1.175         2.1471         -12.54
 1219261951715181696    1589.4863    1927.5123           240.64000739922           +25.15817347666    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264    1426.1894    884.22864           240.62610880126           +25.27059645440    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944    282.35575    873.38517           240.75650606546           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720    1727.9919    141.68393           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016    108.02360    259.78281           240.75734756239           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704    369.06844    865.12306           240.74632512815           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352    1028.0555    492.81332           240.65938003590           +25.32227196487    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768    356.52602    81.871326           240.72337037963           +25.38370017829    15.4733     -25.243      5.647         1.7637           0.00
 1219262089154135424    1354.6117    1740.2483           240.66103305102           +25.18414411618    15.9929      1.519     -8.333         0.1069           0.00
 1219262192233349120    1227.1177    1927.1479           240.68135059114           +25.16839142758    16.5086     -3.149     -11.277         0.3204           0.00
