ID   mag     meanRA  meanDE  stdRA   stdDE   num     std_all     pmRA    pmDE
1219268823662931840   10.2701      0.0162      -0.0113      0.0229       0.0264    184        0.0350    -213.697     -40.992
1219251918671633408   11.5911      0.0002      -0.0025      0.0106       0.0098    94        0.0145      -1.213     -19.329
1219250578641841152   11.9923     -0.0048      -0.0044      0.0190       0.0203    185        0.0278      -0.536     -26.414
1219262020434659456   12.4515     -0.0000      -0.0118      0.0283       0.0283    185        0.0400     -16.183      -0.799
1219267861590264832   12.7308      0.0075      -0.0024      0.0286       0.0309    181        0.0421     -41.651     -12.381
1219268136468174848   13.2418      0.0642      -0.0180      0.0447       0.0262    179        0.0519       2.901       1.175
1219263978939807232   13.1832      0.0017      -0.0008      0.0259       0.0297    182        0.0394      -1.267     -13.310
1219261951715181696   13.3647      0.0074      -0.0049      0.0292       0.0296    183        0.0416       7.182     -15.208
1219266727718891264   13.6722     -0.0026      -0.0055      0.0281       0.0269    184        0.0389       0.512      -6.742
1219264872293010944   13.5957      0.0144      -0.0191      0.0270       0.0276    183        0.0386     -15.021      -1.672
1219268136468174720   14.6607     -0.1109       0.0320      0.0784       0.0453    164        0.0905       2.943       1.082
1219271916039382016   14.6149      0.0035       0.0045      0.0186       0.0196    126        0.0270      -4.819       2.201
1219265525128040704   14.9181     -0.0187       0.0115      0.0394       0.0445    185        0.0594       1.134       0.413
1219268445705812352   15.2556     -0.0095       0.0007      0.0515       0.0586    184        0.0780      -4.265      -4.513
1219274905336624768   15.4733     -0.0271       0.0132      0.0491       0.0621    54        0.0791     -25.243       5.647
1219262089154135424   15.9929     -0.0045       0.0029      0.0957       0.0799    182        0.1247       1.519      -8.333
1219262398391843200   16.2212      0.0025       0.0133      0.1061       0.1022    182        0.1473       4.565      -3.769
1219262192233349120   16.5086     -0.0251       0.0357      0.1512       0.1330    183        0.2014      -3.149     -11.277
1219265696926734976   15.6873     -0.0138       0.0158      0.0690       0.0711    181        0.0991      -6.113     -15.101
1219267999029221888   15.9037      0.0211      -0.0159      0.0807       0.0785    178        0.1126       1.886      -3.146
1219266212322743936   15.9203      0.0018      -0.0177      0.0825       0.0802    180        0.1151       3.971     -20.883
1219263875860592384   16.0765      0.0126      -0.0052      0.1000       0.0987    182        0.1405       6.359      -7.994
1219262089154135552   16.16      0.0015       0.0161      0.1034       0.0971    178        0.1419     -15.109      -1.267
1219262982508309632   16.5311      0.0062       0.0150      0.1529       0.1468    182        0.2120      -2.512      -6.224
1219261917355443840   16.7769     -0.0237       0.0567      0.1837       0.1643    176        0.2465      -0.357      -5.752
1219262535830888192   16.3048      0.0071       0.0215      0.1105       0.1186    180        0.1621       2.295      -5.757
1219265147170920832   15.8638      0.0130      -0.0002      0.0932       0.0821    179        0.1242      -2.901      -6.105
1219264769213794944   15.9448     -0.0373       0.0142      0.0892       0.0921    180        0.1282       2.738       0.096
1219251953031372800   17.0405      0.0070       0.0446      0.2331       0.2015    170        0.3081       3.271     -12.611
1219263532263218176   16.9608      0.0307      -0.0146      0.2183       0.2018    171        0.2973     -57.840     -50.738
1219263016867073920   16.1572     -0.0005       0.0259      0.0859       0.0922    174        0.1260      -2.608       0.097
1219252262269020800   16.494      0.0016       0.0272      0.1424       0.1233    178        0.1884       7.433       9.295
1219267895950005888   16.7965      0.0361      -0.0006      0.1710       0.1607    175        0.2346     -11.676      -2.074
1219266968237065856   16.4311     -0.0134       0.0501      0.1502       0.1303    176        0.1989       1.057     -14.090
1219263635342517120   16.5835     -0.0464       0.0246      0.1309       0.1362    174        0.1890     -14.832       4.627
1219265181530659712   16.3926     -0.0049       0.0421      0.1518       0.1447    176        0.2097     -22.892       3.815
1219263360464609920   17.0603      0.0206       0.0086      0.2213       0.2363    168        0.3238      -9.205      -5.089
1219265868725429888   16.5675     -0.0445       0.0088      0.1468       0.1579    177        0.2156      -4.541      -2.286
1219264494335882880   16.8255      0.0294       0.0316      0.2307       0.1808    156        0.2931      -6.163     -15.730
1219265593847519360   16.9414     -0.0216       0.0311      0.2135       0.2164    170        0.3040      -0.652      -2.590
1219266555920129408   16.7394     -0.0254       0.0196      0.1921       0.1517    172        0.2448     -48.252      -7.391
1219265765646213376   17.2682     -0.0512       0.0511      0.2680       0.2718    154        0.3817      -2.957      -8.861
1219267036956540928   17.2337      0.0255       0.0044      0.2551       0.2511    157        0.3579      -6.504      -8.937
1219267689791654656   17.2924     -0.0159       0.0092      0.2604       0.2537    149        0.3635      -1.574      -8.135
1219265525128042240   17.3143     -0.0357       0.0152      0.2734       0.2594    152        0.3768      -3.165      -2.669
1219263837204176896   18.0741     -0.0762      -0.0921      0.3842       0.4390    36        0.5834      -5.894      -8.072
1219265284609878912   17.1396     -0.0097       0.0429      0.2530       0.2475    151        0.3539      -3.321      -1.589
1219267105676020480   17.3136      0.1478       0.1369      0.2701       0.3155    127        0.4153     -10.943      -3.648
1219252056110589056   17.51     -0.0409      -0.0212      0.2812       0.3244    101        0.4293       5.012       3.175
1219266281042221056   17.7601     -0.0120       0.0198      0.3591       0.3593    74        0.5080     -10.250     -42.175
1219263291744979712   17.4185     -0.0007      -0.0325      0.2874       0.2846    135        0.4045       0.815       1.110
1219267861590265472   17.3697      0.0517       0.0286      0.2852       0.3148    148        0.4248       0.906       1.274
1219263051226812032   18.169      0.1420      -0.2442      0.6095       0.6852    12        0.9171      -3.376      -4.082
1219265215890399616   17.5932     -0.0136       0.0331      0.3347       0.3204    90        0.4634      -1.231      -4.970
1219266555920129536   17.1612      0.0354       0.0316      0.2595       0.2397    152        0.3533     -18.525      22.310
1219265318969615616   17.5927      0.0527       0.0669      0.3992       0.3725    66        0.5460      -1.490      -3.172
1219262772052276224   17.6054      0.0354       0.0035      0.3254       0.3009    100        0.4432     -12.031     -14.276
1219269132900583552   18.0526     -0.0388      -0.0318      0.2649       0.2695    9        0.3779      -1.033      -1.041
1219262467111411328   17.6542      0.0075       0.0185      0.3816       0.3158    83        0.4954      -2.922     -10.735
1219263802844461312   17.9491      0.0148      -0.0721      0.3873       0.5581    10        0.6793      -1.481       7.093
1219262840771756544   18.2664     -0.0891      -0.2300      0.5590       0.4244    13        0.7019       1.496      -1.640
1219252090470329984   17.9733      0.0104      -0.1342      0.3857       0.4326    38        0.5796       0.891       1.811
1219264185098242944   17.6157      0.0221      -0.0447      0.4137       0.3865    63        0.5661       0.811     -12.710
1219268956805255808   17.8871      0.0309      -0.0409      0.4380       0.4184    31        0.6058      -2.156      -0.033
1219268823662932480   17.9023     -0.0252      -0.0501      0.3682       0.4299    46        0.5661      -4.173      -3.651
1219268338329946240   17.8732      0.0705       0.0381      0.3946       0.3567    38        0.5319     -12.542     -23.554
1219263459247064960   18.2104      0.1376       0.0106      0.4280       0.3769    21        0.5703      -1.229      -4.764
1219263665405499136   18.4276      0.3431       0.0589      0.1458       0.3988    4        0.4247       1.839     -13.457
1219264700494316416   17.7645      0.1610      -0.0581      0.2925       0.5582    18        0.6302       0.720       3.763
1219261711197012736   15.8188     -0.0142       0.0236      0.0685       0.0719    159        0.0993      -9.141     -23.297
